Date,Satellite Latitude,Satellite Longitude,Satellite NO2,Ground Latitude,Ground Longitude,Station Name,City,Ground NO2,Ground PM2.5,Ground PM10,Ground NO,Ground SO2,Ground CO,NDVI,Population Density,Distance (km)
01-06-2024,19.309784,72.852,9.947007e-06,19.3044,72.8304,Bhayandar West  Mira-Bhayandar - MPCB ,Bhayandar,14.69,13.79,51.98,6.42,3.02,0.35,0.09430043,6,2.347033393803304
01-06-2024,19.407122,72.82354,1.0210816e-05,19.3924,72.8341,Vasai West  Mumbai - MPCB ,Vasai,21.4,13.49,63.01,41.81,16.01,0.19,0.10099529,6,1.9713405487614608
01-06-2024,19.455786,72.80922,9.124092e-06,19.4453,72.8151,Bolinj  Virar - MPCB ,Virar,13.4,20.01,63.35,7.99,3.26,0.57,0.10154746,6,1.3147693135508838
01-06-2024,19.882704,75.42253,1.24797125e-05,19.8861,75.4378,More Chowk Waluj  Aurangabad - MPCB ,Aurangabad,34.6,,128.21,4.94,3.41,0.91,0.15965395,6,1.6427216603192931
01-06-2024,19.920675,72.74866,8.800577e-06,19.9062,72.746,Khaira  Boisar - MPCB ,Boisar,27.79,33.66,82.91,26.46,6.93,0.61,0.17042515,5,1.6264526169733011
01-06-2024,19.96318,79.303154,0.000228134,19.951,79.2963,Chauhan Colony  Chandrapur - MPCB ,Chandrapur,22.45,57.71,125.29,9.8,46.99,0.55,0.13690849,5,1.5273617798638122
01-06-2024,20.04079,73.76461,1.43620355e-05,20.0305,73.7781,MIDC Ambad  Nashik - MPCB ,Nashik,11.18,23.27,50.79,2.39,17.72,0.68,0.18827978,6,1.8137351371878256
01-06-2024,20.708233,77.00024,9.201182e-06,20.7049,77.0201,Ramdaspeth  Akola - MPCB ,Akola,10.72,26.47,69.19,5.68,17.72,0.67,0.13701212,5,2.101511654808446
01-06-2024,20.71977,77.03901,9.722724e-06,20.7049,77.0201,Ramdaspeth  Akola - MPCB ,Akola,10.72,26.47,69.19,5.68,17.72,0.67,0.1239722,5,2.567202281045894
01-06-2024,20.89095,74.76893,9.063202e-06,20.8967,74.7765,Deopur  Dhule - MPCB ,Dhule,12.42,36.36,108.17,2.56,13.38,0.37,0.134975,5,1.012724060950842
01-06-2024,20.92422,77.75141,1.152378e-05,20.9274,77.7739,Shri Shivaji Science College  Amaravati - MPCB ,Amravati,8.36,26.63,104.37,0.54,1.6,0.37,0.07716536,5,2.3657925563819653
01-06-2024,20.934277,77.78779,1.1462031e-05,20.9373,77.7797,Shivneri Colony  Amravati - MPCB ,Amravati,12.19,27.16,108.81,1.76,3.01,0.43,0.20246519,5,0.9055986724260734
01-06-2024,21.001675,75.565125,1.18029475e-05,21.0044,75.5645,Prabhat Colony  Jalgaon - MPCB ,Jalgaon,13.08,39.49,122.83,0.76,9.22,0.63,0.09435364,5,0.3086223138269868
01-06-2024,21.153019,79.03991,2.2563827e-05,21.15,79.061,Ambazari  Nagpur - MPCB ,Nagpur,28.82,37.44,100.94,8.47,12.56,0.6,0.120825514,6,2.2158717632742424
01-06-2024,21.161236,79.074036,3.821251e-05,21.15,79.061,Ambazari  Nagpur - MPCB ,Nagpur,28.82,37.44,100.94,8.47,12.56,0.6,0.07529555,6,1.8386978792454
01-06-2024,21.20749,81.25347,1.9667264e-05,21.1935,81.2796,Civic Center  Bhilai - Bhilai Steel Plant ,Bhilai,6.0,22.63,69.75,4.0,8.18,0.73,0.13157055,6,3.1241357003797106
01-06-2024,21.227783,81.65654,1.804522e-05,21.2434,81.6731,Bhatagaon New ISBT  Raipur - CECB ,Raipur,3.59,33.21,84.67,3.41,1.29,0.67,0.11101515,6,2.4382202885226563
01-06-2024,21.233994,81.69263,2.1845019e-05,21.2455,81.6765,AIIMS  Raipur - CECB ,Raipur,25.47,46.43,128.25,6.01,23.1,0.62,0.18484613,6,2.103897933246505
01-06-2024,21.270851,81.608955,1.8096436e-05,21.2553,81.6341,Krishak Nagar  Raipur - CECB ,Raipur,6.1,35.68,106.68,7.32,27.54,0.76,0.07855396,6,3.126550821919769
01-06-2024,21.607489,73.03881,1.3474428e-05,21.6154,73.0206,GIDC  Ankleshwar - GPCB ,Ankleshwar,28.47,18.9,60.02,,9.19,1.45,0.10426523,6,2.079020897047131
01-06-2024,22.073425,82.47274,1.9487989e-05,22.0589,82.4897,OP Jindal Industrial Park  Tumidih - CECB ,Tumidih,26.68,26.54,96.39,3.53,5.62,0.71,0.12071527,5,2.3772144895094534
01-06-2024,22.076118,82.151215,2.1424665e-05,22.0778,82.1684,Mangala  Bilaspur - NTPC ,Bilaspur,12.56,34.04,59.35,8.47,8.84,0.67,0.19631569,6,1.7833534329176055
01-06-2024,22.082003,82.18951,2.1739706e-05,22.0778,82.1684,Mangala  Bilaspur - NTPC ,Bilaspur,12.56,34.04,59.35,8.47,8.84,0.67,0.111774,6,2.2277962616683378
01-06-2024,22.166225,82.4108,2.0952832e-05,22.1634,82.4051,Nawapara SECL Colony  Chhal - CECB ,Chhal,15.22,44.12,77.84,4.84,12.58,0.58,0.113794245,5,0.6659550309066601
01-06-2024,22.337011,82.53513,4.8074347e-05,22.3375,82.5528,Urja Nagar  Korba - CECB ,Korba,39.61,50.4,168.51,13.52,6.14,0.83,0.0025201612,5,1.821101569033341
01-06-2024,22.342707,82.575096,3.984617e-05,22.3579,82.5694,Rampur  Korba - CECB ,Korba,27.04,28.19,80.2,9.64,19.84,0.44,0.00063626724,5,1.781770957006538
01-06-2024,22.995352,72.54972,1.5189623e-05,22.9867,72.5522,Gyaspur  Ahmedabad - IITM ,Ahmedabad,36.8,78.81,146.48,12.74,22.12,0.68,0.09653597,6,0.9913211784634192
01-06-2024,23.044008,72.53482,1.6149288e-05,23.0355,72.5252,Sardar Vallabhbhai Patel Stadium  Ahmedabad - IITM ,Ahmedabad,29.37,47.79,97.44,8.52,20.43,0.98,0.093986094,5,1.3637891126037678
01-06-2024,23.067774,72.596954,1.868974e-05,23.0789,72.5927,Chandkheda  Ahmedabad - IITM ,Ahmedabad,47.86,48.47,85.64,10.53,18.07,0.54,0.090716526,5,1.3069797885913754
01-06-2024,23.171835,79.93916,1.1037733e-05,23.1815,79.9573,Gupteshwar  Jabalpur - JMC ,Jabalpur,9.53,37.74,80.27,1.42,4.64,0.54,0.18931954,6,2.14367775229903
01-06-2024,23.178825,79.973724,1.2691492e-05,23.1812,79.966,Marhatal  Jabalpur - MPPCB ,Jabalpur,22.45,33.74,118.94,2.01,16.66,1.09,0.20743383,6,0.833422668819353
01-06-2024,23.188168,76.066986,1.292304e-05,23.1913,76.051,Bhopal Chauraha  Dewas - MPPCB ,Dewas,10.54,19.7,41.44,3.52,21.14,0.6,0.12425719,4,1.672977688582883
01-06-2024,23.2542,77.40725,1.7638025e-05,23.2535,77.4003,T T Nagar  Bhopal - MPPCB ,Bhopal,19.87,23.76,111.11,1.3,12.01,0.8,0.08218216,6,0.7154049693451279
01-06-2024,23.26393,77.443565,1.6565215e-05,23.2594,77.4233,Idgah Hills  Bhopal - MPPCB ,Bhopal,14.29,32.13,122.66,2.09,6.08,0.23,0.13749772,6,2.133419181040144
01-06-2024,23.71464,92.7449,7.1408285e-06,23.717396,92.718117,Sikulpuikawn  Aizawl - Mizoram PCB ,Aizawl,0.36,11.44,66.06,1.8,2.09,0.25,0.31851235,5,2.7481685579229405
